Year,Event,Driver,Team,LapNumber,Stint,TyreLife,Compound,LapTime,Position,TrackTemp,AirTemp,FuelEstimate,RowID,NormalizedLap,LapInStint,BestLap,DeltaBestLap,FuelNorm
2024,Australian Grand Prix,PIA,McLaren,45,3,7,HARD,80.223,4,38.4,20.6,30.8,81,0.0240000000000009,4,80.199,0.0240000000000009,0.284658040665434
2024,Australian Grand Prix,PIA,McLaren,46,3,8,HARD,80.615,4,38.4,20.6,29,82,0.415999999999997,5,80.199,0.415999999999997,0.268022181146026
2024,Australian Grand Prix,PIA,McLaren,47,3,9,HARD,80.682,4,38.4,20.6,27.2,83,0.483000000000004,6,80.199,0.483000000000004,0.251386321626617
2024,Australian Grand Prix,PIA,McLaren,48,3,10,HARD,80.588,4,38.4,20.6,25.4,84,0.388999999999996,7,80.199,0.388999999999996,0.234750462107209
2024,Australian Grand Prix,PIA,McLaren,49,3,11,HARD,80.352,4,38.4,20.6,23.6,85,0.153000000000006,8,80.199,0.153000000000006,0.2181146025878
2024,Australian Grand Prix,PIA,McLaren,50,3,12,HARD,80.496,4,38.4,20.6,21.8,86,0.296999999999997,9,80.199,0.296999999999997,0.201478743068392
2024,Australian Grand Prix,PIA,McLaren,51,3,13,HARD,80.718,4,38.4,20.6,20,87,0.519000000000005,10,80.199,0.519000000000005,0.184842883548983
2024,Australian Grand Prix,PIA,McLaren,52,3,14,HARD,80.295,4,38.4,20.6,18.2,88,0.0960000000000036,11,80.199,0.0960000000000036,0.168207024029575
2024,Australian Grand Prix,PIA,McLaren,53,3,15,HARD,80.308,4,38.4,20.6,16.4,89,0.109000000000009,12,80.199,0.109000000000009,0.151571164510166
2024,Australian Grand Prix,PIA,McLaren,54,3,16,HARD,80.199,4,38.4,20.6,14.6,90,0,13,80.199,0,0.134935304990758
2024,Australian Grand Prix,PIA,McLaren,55,3,17,HARD,80.754,4,38.4,20.6,12.8,91,0.555000000000007,14,80.199,0.555000000000007,0.118299445471349
2024,Australian Grand Prix,PIA,McLaren,56,3,18,HARD,80.357,4,38.4,20.6,11,92,0.158000000000001,15,80.199,0.158000000000001,0.101663585951941
2024,Austrian Grand Prix,PIA,McLaren,2,1,2,MEDIUM,70.541,7,46.4,29.4,108.2,93,2.61699999999999,1,70.541,0,1
2024,Austrian Grand Prix,PIA,McLaren,3,1,3,MEDIUM,70.743,7,46.4,29.4,106.4,94,2.81899999999999,2,70.541,0.201999999999998,0.983364140480592
2024,Austrian Grand Prix,PIA,McLaren,4,1,4,MEDIUM,70.81,7,46.4,29.4,104.6,95,2.886,3,70.541,0.269000000000005,0.966728280961183
2024,Austrian Grand Prix,PIA,McLaren,5,1,5,MEDIUM,70.607,7,46.4,29.4,102.8,96,2.68299999999999,4,70.541,0.0660000000000025,0.950092421441774
2024,Austrian Grand Prix,PIA,McLaren,6,1,6,MEDIUM,71.246,7,46.4,29.4,101,97,3.32199999999999,5,70.541,0.704999999999998,0.933456561922366
2024,Austrian Grand Prix,PIA,McLaren,7,1,7,MEDIUM,71.094,6,46.4,29.4,99.2,98,3.16999999999999,6,70.541,0.552999999999997,0.916820702402958
2024,Austrian Grand Prix,PIA,McLaren,8,1,8,MEDIUM,71.351,6,46.4,29.4,97.4,99,3.42699999999999,7,70.541,0.810000000000002,0.900184842883549
2024,Austrian Grand Prix,PIA,McLaren,9,1,9,MEDIUM,71.024,6,46.4,29.4,95.6,100,3.09999999999999,8,70.541,0.483000000000004,0.88354898336414
2024,Austrian Grand Prix,PIA,McLaren,10,1,10,MEDIUM,71.369,6,46.4,29.4,93.8,101,3.44499999999999,9,70.541,0.828000000000003,0.866913123844732
2024,Austrian Grand Prix,PIA,McLaren,11,1,11,MEDIUM,71.394,6,46.4,29.4,92,102,3.47,10,70.541,0.853000000000009,0.850277264325323
